Frame,Visibility,X,Y,X_fused,Y_fused,is_interpolated,track_status
471,0,0,0,,,False,missing
472,0,0,0,,,False,missing
473,0,0,0,,,False,missing
474,0,0,0,,,False,missing
475,0,0,0,,,False,missing
476,0,0,0,,,False,missing
477,0,0,0,,,False,missing
478,0,0,0,,,False,missing
479,0,0,0,,,False,missing
480,1,388,426,388.0,426.0,False,detected
481,1,385,426,385.0,426.0,False,detected
482,1,621,311,621.0,311.0,False,detected
483,1,386,426,386.0,426.0,False,detected
484,1,628,306,628.0,306.0,False,detected
485,1,628,311,628.0,311.0,False,detected
486,1,628,311,628.0,311.0,False,detected
487,1,627,311,627.0,311.0,False,detected
488,1,520,284,520.0,284.0,False,detected
489,1,518,284,518.0,284.0,False,detected
490,1,527,284,527.0,284.0,False,detected
491,1,487,288,487.0,288.0,False,detected
492,1,462,280,462.0,280.0,False,detected
493,1,461,280,461.0,280.0,False,detected
494,1,143,271,143.0,271.0,False,detected
495,1,140,271,140.0,271.0,False,detected
496,0,0,0,148.0983606557377,274.27868852459017,True,interpolated
497,0,0,0,156.19672131147541,277.55737704918033,True,interpolated
498,0,0,0,164.29508196721312,280.8360655737705,True,interpolated
499,0,0,0,172.39344262295083,284.11475409836066,True,interpolated
500,0,0,0,180.49180327868854,287.39344262295083,True,interpolated
501,0,0,0,188.59016393442624,290.672131147541,True,interpolated
502,0,0,0,196.68852459016395,293.95081967213116,True,interpolated
503,0,0,0,204.78688524590166,297.2295081967213,True,interpolated
504,0,0,0,,,False,missing
505,0,0,0,,,False,missing
506,0,0,0,,,False,missing
507,0,0,0,,,False,missing
508,0,0,0,,,False,missing
509,0,0,0,,,False,missing
510,0,0,0,,,False,missing
511,0,0,0,,,False,missing
512,0,0,0,,,False,missing
513,0,0,0,,,False,missing
514,0,0,0,,,False,missing
515,0,0,0,,,False,missing
516,0,0,0,,,False,missing
517,0,0,0,,,False,missing
518,0,0,0,,,False,missing
519,0,0,0,,,False,missing
520,0,0,0,,,False,missing
521,0,0,0,,,False,missing
